Fecha | ID | Estado | Agente | Nombre Entidad
2019-03-11 | 20191217514 | Delinquent      | Treve Ruskin              | DOREL INTERNATIONAL WHOLESALE GROUP INC., Delinquent August 1, 2021
2019-03-11 | 20191216712 | Delinquent      | Edward Ryder              | CALIFORNIA WHEELERS GROUP INC., Delinquent April 1, 2022
2019-03-11 | 20191217128 | Delinquent      | SHAFI KHALIDI             | NETMEDICO SYSTEMS INC., Delinquent February 1, 2022
2019-03-11 | 20191216954 | Delinquent      | Daryl Rawls               | WENETWORK INTERNATIONAL TEAM INC., Delinquent November 1, 2024
2019-03-11 | 20191217159 | Delinquent      | Myisha N Powell           | MOSSROSE TECHNICAL GROUP INC., Delinquent June 1, 2022
2019-03-11 | 20191217215 | Delinquent      | Reginald Wray             | TRUSTED MEDICAL INTERNATIONAL GROUP INC., Delinquent June 1, 2022
2019-03-11 | 20191217360 | Delinquent      | EDGAR RUIZ                | AUTOTECH INTERNATIONAL TEAM INC., Delinquent March 1, 2022
2019-03-11 | 20191217391 | Delinquent      | Dhon Blackwell            | ZENICATECH INTERNATIONAL INC., Delinquent May 1, 2022
2019-03-11 | 20191217420 | Delinquent      | Paul David Levitan        | GOLDGAME MANUFACTURING GROUP INC., Delinquent June 1, 2022
2019-03-11 | 20191217460 | Delinquent      | Jonathan Cherry           | DATALEX TECHNICAL GROUP INC., Delinquent May 1, 2022
2019-03-11 | 20191217537 | Delinquent      | RICHARD MORENCY           | MEDFREE GLOBAL SERVICES INC., Delinquent May 1, 2022
2019-03-11 | 20191217729 | Delinquent      | Faye Jackman              | SEVEN SPECTRUM TECHNO TEAM INC., Delinquent February 1, 2022
2019-03-11 | 20191216609 | Delinquent      | John W Simmons            | TETRA TECHNICAL TEAM INC.
2019-03-11 | 20191217032 | Delinquent      | George Owen Deeble        | TECHNO ADVANCED TEAM INC., Delinquent May 1, 2025
2019-03-18 | 20191230869 | Delinquent      | Dexter King               | AMRO MEGA SUPPORT GROUP INC., Delinquent June 1, 2022
2019-03-18 | 20191231480 | Delinquent      | KEITH JOHNSON             | VIDEO MANUFACTURING SYSTEMS INC., Delinquent November 1, 2024
2019-03-18 | 20191230248 | Delinquent      | Otis McClendon            | ALFA HIGH LEVEL SUPPORT INC., Delinquent January 1, 2022
2019-03-18 | 20191230336 | Delinquent      | ADJANOU AKPAKA            | ANGLOSWISS TECHNICAL GROUP INC., Delinquent April 1, 2022
2019-03-18 | 20191230443 | Delinquent      | mitchell clardy           | MEDARM GLOBAL GROUP INC., Delinquent February 1, 2022
2019-03-18 | 20191230561 | Delinquent      | Tyrone Lee Thaddeus Jorda | ATLASYS VENTURE GROUP INC., Delinquent April 1, 2022
2019-03-18 | 20191230608 | Delinquent      | MITCHELL CLARDY           | LAST HOUR INTERNATIONAL INC., Delinquent April 1, 2022
2019-03-18 | 20191230788 | Delinquent      | DELPHINE KOFFI            | JUMO MANUFACTURING GROUP INC., Delinquent March 1, 2022
